repetition,method,MISE,Time,M,n,graphon
38,SAS,0.0747362219937634,0.007318735122680664,50,100,0
38,USVT,0.045062773157842975,0.005557060241699219,50,100,0
39,JGS,0.001061612011664158,0.03189849853515625,50,100,0
39,SIGL,0.0007979659021143538,37.49989986419678,50,100,0
39,SGWB,0.012038692730867799,0.6163854598999023,50,100,0
39,SBA,0.06710009041487544,0.09160709381103516,50,100,0
39,SAS,0.0761018871751341,0.009835004806518555,50,100,0
39,USVT,0.047743669388416246,0.0037643909454345703,50,100,0
40,JGS,0.0006406893194505044,0.034723520278930664,50,100,0
40,SIGL,0.0008574895998978854,37.30965709686279,50,100,0
40,SGWB,0.009292658236465351,0.5580980777740479,50,100,0
40,SBA,0.0647600263479711,0.0632619857788086,50,100,0
40,SAS,0.07581556568584147,0.007600307464599609,50,100,0
40,USVT,0.04677244043980795,0.003957271575927734,50,100,0
41,JGS,0.0008165710559977599,0.040331363677978516,50,100,0
41,SIGL,0.0021728072386253214,84.24487972259521,50,100,0
41,SGWB,0.010661678520548466,0.9397487640380859,50,100,0
41,SBA,0.05035261462105244,0.18553781509399414,50,100,0
41,SAS,0.07390696426623757,0.017736196517944336,50,100,0
41,USVT,0.04379028151775528,0.02106189727783203,50,100,0
42,JGS,0.0005502318488852245,0.04799532890319824,50,100,0
42,SIGL,0.001897931060959919,48.25547814369202,50,100,0
42,SGWB,0.014908758103424569,0.5086371898651123,50,100,0
42,SBA,0.05254991087690679,0.09585785865783691,50,100,0
42,SAS,0.07516187068446108,0.01697707176208496,50,100,0
42,USVT,0.04520838479179787,0.0041964054107666016,50,100,0
43,JGS,0.0009025096486608588,0.03216385841369629,50,100,0
43,SIGL,0.0008662242485687828,38.84315299987793,50,100,0
43,SGWB,0.012973202377017462,0.49521446228027344,50,100,0
43,SBA,0.06461009935656944,0.06319451332092285,50,100,0
43,SAS,0.07467979576083598,0.0077588558197021484,50,100,0
43,USVT,0.04535372032840843,0.004147529602050781,50,100,0
44,JGS,0.0006678205719294778,0.03303647041320801,50,100,0
44,SIGL,0.001536955294728107,29.84022545814514,50,100,0
44,SGWB,0.01199981473360809,0.4846034049987793,50,100,0
44,SBA,0.05154598524760865,0.0744173526763916,50,100,0
44,SAS,0.07383407921133583,0.008348464965820312,50,100,0
44,USVT,0.04424657296560425,0.003917694091796875,50,100,0
45,JGS,0.0008459035163935138,0.032118797302246094,50,100,0
45,SIGL,0.0012121717983376503,32.45437288284302,50,100,0
45,SGWB,0.01387381749837564,0.493145227432251,50,100,0
45,SBA,0.052345593424448875,0.07264828681945801,50,100,0
45,SAS,0.07423474206616486,0.007571220397949219,50,100,0
45,USVT,0.044212806898291934,0.003782510757446289,50,100,0
46,JGS,0.0014166426483733182,0.048781394958496094,50,100,0
46,SIGL,0.002272629799514675,33.600502729415894,50,100,0
46,SGWB,0.010394725704665824,0.4881155490875244,50,100,0
46,SBA,0.06691166403341559,0.10957741737365723,50,100,0
46,SAS,0.07685980713792602,0.02064657211303711,50,100,0
46,USVT,0.04828646573108161,0.004592418670654297,50,100,0
47,JGS,0.000636861797899656,0.03175163269042969,50,100,0
47,SIGL,0.0010385733636216936,37.511709451675415,50,100,0
47,SGWB,0.00950286119322569,0.4880974292755127,50,100,0
47,SBA,0.053553538213204445,0.06988978385925293,50,100,0
47,SAS,0.07471891705192302,0.008166313171386719,50,100,0
47,USVT,0.044907553929541696,0.004052639007568359,50,100,0
48,JGS,0.0005614397764180421,0.032419443130493164,50,100,0
48,SIGL,0.0018967712096149803,30.129127502441406,50,100,0
48,SGWB,0.014636367784185932,0.5027153491973877,50,100,0
48,SBA,0.05187270604367131,0.07506084442138672,50,100,0
48,SAS,0.07438958365261936,0.007598161697387695,50,100,0
48,USVT,0.0443083998005106,0.003881692886352539,50,100,0
49,JGS,0.0006456510335423165,0.03764629364013672,50,100,0
49,SIGL,0.0008340800739861545,38.0673348903656,50,100,0
49,SGWB,0.009231407536249878,0.49274134635925293,50,100,0
49,SBA,0.05061351955208527,0.13330531120300293,50,100,0
49,SAS,0.07480459762436842,0.008779525756835938,50,100,0
49,USVT,0.045142907612339744,0.0042667388916015625,50,100,0
